Time(s),x(m),y(m),Yaw(rad),Speed(km/h),Track Error(m),Yaw Angle(rad),Curvature
4.000000000000002,-7.138150775499693,0.2410098724765362,7.78876032282003,9.973923318344069,0.2324070421409412,7.78876032282003,5.280038517221915
4.100000000000001,-7.120093796039278,0.517474239220871,6.417913667149556,9.97783482059246,0.046077884382101156,6.417913667149556,53.38002551509937
4.200000000000001,-6.845443400698026,0.5547029648782137,9.582154279624326,9.981159597503591,0.015113202032035736,9.582154279624326,0.11843104812932331
4.300000000000001,-7.119271491842268,0.5112495730101847,11.682910387336566,9.983985657878051,0.0483746799374372,11.682910387336566,47.29871779363477
4.4,-6.943309179330334,0.29688814602652003,15.63656595208549,9.986387809196344,0.15363145264307684,15.63656595208549,0.1884696596629229
4.5,-7.220002107965207,0.31667691480434307,17.885202185757738,9.988429637816893,0.19265365339547375,17.885202185757738,56.804319115736774
4.6,-7.061866394724565,0.08869634907481141,19.521311490837462,9.990165192144358,0.37946126374601247,19.521311490837462,0.5091710082954272
4.699999999999999,-6.844655151823568,0.26140440531621945,19.157780536169515,9.991640413322704,0.17094848173646582,19.157780536169515,0.09343154200971282
4.799999999999999,-6.5801892900549,0.34560268166854285,18.942024257791108,9.9928943513243,0.08820098406183866,18.942024257791108,0.038372422218424206
4.899999999999999,-6.3037947568554635,0.3712335172185446,18.84276176321509,9.993960198625656,0.057591747465691,18.84276176321509,0.023458116165125727
4.999999999999998,-6.026191158633888,0.3693474053995746,18.80327104487971,9.994866168831807,0.04493906351611096,18.80327104487971,0.01728378333532047
5.099999999999998,-5.748853321689268,0.3565016834269276,18.78883505299359,9.995636243507036,0.03851655871205693,18.78883505299359,0.01406041350698048
5.1999999999999975,-5.471708465305395,0.33965249415496035,18.783989090797405,9.99629080698098,0.034452244790212014,18.783989090797405,0.01213222181454681
5.299999999999997,-5.194630370024867,0.3214592831768696,18.782690151265598,9.996847185933834,0.031417719228740315,18.782690151265598,0.01087583499969913
5.399999999999997,-4.91756071993382,0.3029051473181801,18.78271322912054,9.997320108043757,0.028929462168199898,18.78271322912054,0.010009807516524178
5.4999999999999964,-4.640477534337784,0.28435652819727053,18.78326202920479,9.997722091837193,0.026793690846285422,18.78326202920479,0.009389984346358883
5.599999999999996,-4.363373069296314,0.2659592354277251,18.784054221850422,9.998063778061615,0.024919805850041082,18.784054221850422,0.008935433587344823
5.699999999999996,-4.0862446460772,0.24778084727651445,18.78498831295171,9.998354211352373,0.02325652135358524,18.78498831295171,0.008597452783356248
5.799999999999995,-3.809091312710389,0.2298608096690425,18.786025732568465,9.998601079649518,0.02176945671521264,18.786025732568465,0.008345105919568512
5.899999999999995,-3.5319126942713077,0.2122278705957368,18.787149888392733,9.99881091770209,0.02043286690559206,18.787149888392733,0.008157878317133849
5.999999999999995,-3.2547086113159414,0.194906171038292,18.788352132605773,9.998989280046775,0.01922627763320841,18.788352132605773,0.008021685639772902
6.099999999999994,-2.9774789585537658,0.17791744787796293,18.789626981640442,9.99914088803976,0.018132892503772615,18.789626981640442,0.00792658235799251
6.199999999999994,-2.700223669249527,0.1612819121527928,18.79097047415478,9.999269754833795,0.017138695138865886,18.79097047415478,0.007865384237780737
6.299999999999994,-2.4229427069614733,0.14501867214017886,18.792379582797075,9.999379291608726,0.016231862757535596,18.792379582797075,0.007832807694507145
6.399999999999993,-2.145636065575594,0.1291459932696078,18.793851973015705,9.999472397867416,0.01540234451370844,18.793851973015705,0.007824913606203118
6.499999999999993,-1.868303771738625,0.11368149105150269,18.795385912096062,9.999551538187305,0.014641541764975891,18.795385912096062,0.007838738823352273
6.5999999999999925,-1.5909458874661322,0.09864229867808635,18.796980162905502,9.99961880745921,0.013942056369065162,18.796980162905502,0.007872044255308
6.699999999999992,-1.313562513421557,0.08404520506360723,18.7986339526825,9.999675986340328,0.013297492417057652,18.7986339526825,0.007923140523563965
6.799999999999992,-1.0361537919449035,0.06990678414546785,18.80034692924261,9.999724588389277,0.012702295208730383,18.80034692924261,0.00799076453375848
6.8999999999999915,-0.7587199102723559,0.05624351196736317,18.802119126830323,9.999765900130885,0.01215162044713352,18.802119126830323,0.008073990978643739
6.999999999999991,-0.4812611040030065,0.04307187422814931,18.803950939114593,9.999801015111252,0.011641227110253184,18.803950939114593,0.008172168216662407
7.099999999999991,-0.20377766088879162,0.03040846628492589,18.805843098210598,9.999830862844565,0.011167389116976336,18.805843098210598,0.008284871519157673
7.19999999999999,0.07373007497322409,0.018270087287538435,18.807796659070497,9.99985623341788,0.010726822055237315,18.807796659070497,0.008411868952324654
7.29999999999999,0.3512616984659339,0.006673829938075575,18.80981298877142,9.999877798405198,0.01031662207687797,18.80981298877142,0.008553096648674312
7.39999999999999,0.6288167382112433,-0.004362832763234473,18.811893760336435,9.99989612864442,0.009934214688863163,18.811893760336435,0.008708641218421418
7.499999999999989,0.9063946506737783,-0.014821962526679769,18.814040950811886,9.999911709347757,0.009577311645609429,18.814040950811886,0.008878727731021998
7.599999999999989,1.1839948135111666,-0.02468507135530395,18.816256843407235,9.999924952945593,0.009243874512706632,18.816256843407235,0.009063712170944111
7.699999999999989,1.4616165180611655,-0.03393303657494594,18.818544033582207,9.999936210003753,0.00893208375624254,18.818544033582207,0.00926407761237401
7.799999999999988,1.7392589608412048,-0.04254601421979233,18.820905439068085,9.999945778503191,0.008640312434551716,18.820905439068085,0.009480433600621938
7.899999999999988,2.0169212339180587,-0.050503349686497355,18.82334431384267,9.999953911727712,0.008367103743912667,18.82334431384267,0.009713518423369856
7.999999999999988,2.2946023139832286,-0.057783484566449834,18.825864266225718,9.999960824968555,0.008111151811132982,18.825864266225718,0.00996420409929628
8.099999999999987,2.5723010499436194,-0.06436385852173536,18.828469281316867,9.999966701223272,0.007871285236307847,18.828469281316867,0.010233504036198068
8.199999999999987,2.850016148805424,-0.07022080501140464,18.83116374809569,9.99997169603978,0.007646452979708729,18.83116374809569,0.010522583420838236
8.299999999999986,3.1277461595911142,-0.0753294395891982,18.833952491615886,9.999975941633814,0.007435712260511405,18.833952491615886,0.010832772505757305
8.399999999999986,3.405489454983722,-0.07966353937790836,18.83684081084417,9.999979550388742,0.007238218195391664,18.83684081084417,0.01116558306227568
